STATE,NUM_EVENTS,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,TOTAL_DAMAGE,TOTAL_INJURIES,TOTAL_DEATHS,TOTAL_REGISTRATIONS,TOTAL_MILES_DRIVEN,TOTAL_ROAD_LENGTH,POPULATION,REGION,DIVISION,YEAR
ALABAMA,62,16,0,2,0,1175500.0,0.0,1175500.0,16,2,1965932,17571,0,3444165,SOUTH,EAST SOUTH CENTRAL,1970
ARIZONA,18,0,0,0,0,25000.0,0.0,25000.0,0,0,1033312,12124,0,1770900,WEST,MOUNTAIN,1970
ARKANSAS,94,85,0,1,0,6735000.0,0.0,6735000.0,85,1,1043336,11285,0,1923295,SOUTH,WEST SOUTH CENTRAL,1970
CALIFORNIA,7,0,0,0,0,25000.0,0.0,25000.0,0,0,11900896,116992,0,19953134,WEST,PACIFIC,1970
COLORADO,24,0,0,0,0,27500.0,0.0,27500.0,0,0,1442448,13198,0,2207259,WEST,MOUNTAIN,1970
CONNECTICUT,5,1,0,0,0,25000.0,0.0,25000.0,1,0,1732609,16446,0,3031709,NORTHEAST,NEW ENGLAND,1970
DELAWARE,13,0,0,0,0,0.0,0.0,0.0,0,0,312342,2958,0,548104,SOUTH,SOUTH ATLANTIC,1970
FLORIDA,106,14,0,0,0,3465120.0,0.0,3465120.0,14,0,4120363,41781,0,6789443,SOUTH,SOUTH ATLANTIC,1970
GEORGIA,75,18,0,1,0,1082500.0,0.0,1082500.0,18,1,2584042,29530,0,4589575,SOUTH,SOUTH ATLANTIC,1970
IDAHO,30,0,0,0,0,0.0,0.0,0.0,0,0,473873,4741,0,712567,WEST,MOUNTAIN,1970
ILLINOIS,100,16,0,0,0,910530.0,0.0,910530.0,16,0,5237876,55313,0,11113976,MIDWEST,EAST NORTH CENTRAL,1970
INDIANA,93,13,0,0,0,1932500.0,0.0,1932500.0,13,0,2815388,32578,0,5193669,MIDWEST,EAST NORTH CENTRAL,1970
IOWA,154,0,0,0,0,3557530.0,0.0,3557530.0,0,0,1790061,18227,0,2824376,MIDWEST,WEST NORTH CENTRAL,1970
KANSAS,207,5,0,0,0,10458030.0,0.0,10458030.0,5,0,1547643,13366,0,2246578,MIDWEST,WEST NORTH CENTRAL,1970
KENTUCKY,106,15,0,0,0,330000.0,0.0,330000.0,15,0,1762517,19960,0,3218706,SOUTH,EAST SOUTH CENTRAL,1970
LOUISIANA,52,6,0,1,0,932500.0,0.0,932500.0,6,1,1742351,16838,0,3641306,SOUTH,WEST SOUTH CENTRAL,1970
MAINE,13,0,0,0,0,27500.0,0.0,27500.0,0,0,515492,6108,0,992048,NORTHEAST,NEW ENGLAND,1970
MARYLAND,40,0,0,0,0,0.0,0.0,0.0,0,0,1796263,20492,0,3922399,SOUTH,SOUTH ATLANTIC,1970
MASSACHUSETTS,22,0,0,1,0,1075000.0,0.0,1075000.0,0,1,2574838,26072,0,5689170,NORTHEAST,NEW ENGLAND,1970
MICHIGAN,49,0,0,0,0,50000.0,0.0,50000.0,0,0,4569319,53111,0,8875083,MIDWEST,EAST NORTH CENTRAL,1970
MINNESOTA,78,9,0,0,0,3905000.0,0.0,3905000.0,9,0,2206624,22380,0,3804971,MIDWEST,WEST NORTH CENTRAL,1970
MISSISSIPPI,124,110,0,4,0,3337750.0,0.0,3337750.0,110,4,1117311,11627,0,2216912,SOUTH,EAST SOUTH CENTRAL,1970
MISSOURI,216,20,0,0,0,5160680.0,0.0,5160680.0,20,0,2407687,25785,0,4676501,MIDWEST,WEST NORTH CENTRAL,1970
MONTANA,44,0,0,0,0,250.0,0.0,250.0,0,0,484990,4867,0,694409,WEST,MOUNTAIN,1970
NEBRASKA,139,1,0,0,0,600000.0,0.0,600000.0,1,0,974158,9600,0,1483493,MIDWEST,WEST NORTH CENTRAL,1970
NEVADA,6,0,0,0,0,0.0,0.0,0.0,0,0,354590,3460,0,488738,WEST,MOUNTAIN,1970
NEW HAMPSHIRE,12,0,0,0,0,325000.0,0.0,325000.0,0,0,361711,4436,0,737681,NORTHEAST,NEW ENGLAND,1970
NEW JERSEY,19,0,0,0,0,275000.0,0.0,275000.0,0,0,3585637,39892,0,7168164,NORTHEAST,MIDDLE ATLANTIC,1970
NEW MEXICO,29,0,0,0,0,255280.0,0.0,255280.0,0,0,637371,7463,0,1016000,WEST,MOUNTAIN,1970
NEW YORK,55,4,0,1,0,775000.0,0.0,775000.0,4,1,6718026,68592,0,18236967,NORTHEAST,MIDDLE ATLANTIC,1970
NORTH CAROLINA,87,1,0,0,0,50000.0,0.0,50000.0,1,0,2825801,29624,0,5082059,SOUTH,SOUTH ATLANTIC,1970
NORTH DAKOTA,46,9,0,0,0,135250.0,0.0,135250.0,9,0,428081,3850,0,617761,MIDWEST,WEST NORTH CENTRAL,1970
OHIO,97,17,0,0,0,1722500.0,0.0,1722500.0,17,0,5975256,56014,0,10652017,MIDWEST,EAST NORTH CENTRAL,1970
OKLAHOMA,163,118,0,6,0,139442810.0,0.0,139442810.0,118,6,1712522,18071,0,2559229,SOUTH,WEST SOUTH CENTRAL,1970
OREGON,7,0,0,0,0,0.0,0.0,0.0,0,0,1369233,13525,0,2091385,WEST,PACIFIC,1970
PENNSYLVANIA,106,10,0,1,0,5902500.0,0.0,5902500.0,10,1,5810553,56677,0,11793909,NORTHEAST,MIDDLE ATLANTIC,1970
SOUTH CAROLINA,42,0,0,0,0,2500.0,0.0,2500.0,0,0,1359811,16559,0,2590516,SOUTH,SOUTH ATLANTIC,1970
SOUTH DAKOTA,85,1,0,1,0,25375000.0,0.0,25375000.0,1,1,426397,4689,0,665507,MIDWEST,WEST NORTH CENTRAL,1970
TENNESSEE,83,114,0,3,0,15452750.0,0.0,15452750.0,114,3,2049992,20719,0,3923687,SOUTH,EAST SOUTH CENTRAL,1970
TEXAS,325,736,0,51,0,382039250.0,0.0,382039250.0,736,51,6693280,68031,0,11196730,SOUTH,WEST SOUTH CENTRAL,1970
UTAH,14,1,0,0,0,250.0,0.0,250.0,1,0,625870,6108,0,1059273,WEST,MOUNTAIN,1970
VERMONT,11,7,0,0,0,25000.0,0.0,25000.0,7,0,228796,2687,0,444330,NORTHEAST,NEW ENGLAND,1970
VIRGINIA,41,0,0,0,0,280000.0,0.0,280000.0,0,0,2262721,28419,0,4648494,SOUTH,SOUTH ATLANTIC,1970
WASHINGTON,4,0,0,0,0,25000.0,0.0,25000.0,0,0,2101961,20711,0,3409169,WEST,PACIFIC,1970
